Factura,Emision,Vencimiento,Razon Social,Neto,Importe Total
A 0003-00028578,2026-01-02,2026-01-02,Jupam Sa,"$2.820.938,50","$2.849.696,95"
A 0003-00028579,2026-01-02,2026-01-02,Jupam Sa,"$3.038.496,50","$3.067.254,95"
A 0003-00028580,2026-01-02,2026-01-02,Jupam Sa,"$2.841.514,00","$2.870.272,45"
A 0003-00028587,2026-01-02,2026-01-02,Jupam Sa,"$1.136.200,00","$1.374.802,00"
A 0003-00028588,2026-01-02,2026-01-02,Jupam Sa,"$1.136.200,00","$1.374.802,00"
A 0003-00028591,2026-01-02,2026-01-02,Jupam Sa,"$1.136.200,00","$1.374.802,00"
A 0003-00028681,2026-01-08,2026-01-08,Jupam Sa,"$1.128.600,00","$1.365.606,00"
A 0003-00029177,2026-02-25,2026-02-25,Jupam Sa,"$1.090.600,00","$1.319.626,00"
A 0003-00029179,2026-02-25,2026-02-25,Jupam Sa,"$1.090.600,00","$1.319.626,00"
A 0003-00029398,2026-03-16,2026-03-16,Jupam Sa,"$1.075.400,00","$1.301.234,00"
