Factura,Emision,Vencimiento,Razon Social,Neto,Importe Total
A 0003-00026722,2025-08-11,2025-08-11,Global Rover Logistic Srl,"$1.081.200,00","$1.308.252,00"
A 0003-00026723,2025-08-11,2025-08-11,Global Rover Logistic Srl,"$1.081.200,00","$1.308.252,00"
A 0003-00026724,2025-08-11,2025-08-11,Global Rover Logistic Srl,"$540.600,00","$654.126,00"
A 0003-00026725,2025-08-11,2025-08-11,Global Rover Logistic Srl,"$1.081.200,00","$1.308.252,00"
A 0003-00026752,2025-08-12,2025-08-12,Global Rover Logistic Srl,"$540.600,00","$654.126,00"
A 0003-00026753,2025-08-12,2025-08-12,Global Rover Logistic Srl,"$1.081.200,00","$1.308.252,00"
A 0003-00026760,2025-08-13,2025-08-13,Global Rover Logistic Srl,"$288.600,00","$349.206,00"
A 0003-00026762,2025-08-13,2025-08-13,Global Rover Logistic Srl,"$288.600,00","$349.206,00"
A 0003-00026782,2025-08-14,2025-08-14,Global Rover Logistic Srl,"$1.081.200,00","$1.308.252,00"
A 0003-00026810,2025-08-18,2025-08-18,Global Rover Logistic Srl,"$540.600,00","$654.126,00"
A 0003-00026828,2025-08-19,2025-08-19,Global Rover Logistic Srl,"$2.703.000,00","$3.270.630,00"
A 0003-00026842,2025-08-20,2025-08-20,Global Rover Logistic Srl,"$540.600,00","$654.126,00"
A 0003-00026854,2025-08-21,2025-08-21,Global Rover Logistic Srl,"$540.600,00","$654.126,00"
A 0003-00026857,2025-08-21,2025-08-21,Global Rover Logistic Srl,"$540.600,00","$654.126,00"
A 0003-00026878,2025-08-25,2025-08-25,Global Rover Logistic Srl,"$1.621.800,00","$1.962.378,00"
A 0003-00026881,2025-08-25,2025-08-25,Taeda Sa,"$1.324.200,00","$1.602.282,00"
A 0003-00026924,2025-08-28,2025-08-28,Global Rover Logistic Srl,"$1.621.800,00","$1.962.378,00"
A 0003-00026943,2025-08-29,2025-08-29,Global Rover Logistic Srl,"$1.081.200,00","$1.308.252,00"
A 0003-00026956,2025-09-01,2025-09-01,Global Rover Logistic Srl,"$288.600,00","$349.206,00"
A 0003-00027001,2025-09-03,2025-09-03,Global Rover Logistic Srl,"$1.081.200,00","$1.308.252,00"
A 0003-00027023,2025-09-05,2025-09-05,Global Rover Logistic Srl,"$2.162.400,00","$2.616.504,00"
A 0003-00027027,2025-09-05,2025-09-05,Global Rover Logistic Srl,"$1.081.200,00","$1.308.252,00"
A 0003-00027028,2025-09-05,2025-09-05,Global Rover Logistic Srl,"$1.081.200,00","$1.308.252,00"
A 0003-00027029,2025-09-05,2025-09-05,Global Rover Logistic Srl,"$540.600,00","$654.126,00"
A 0003-00027030,2025-09-05,2025-09-05,Global Rover Logistic Srl,"$2.162.400,00","$2.616.504,00"
A 0003-00027074,2025-09-10,2025-09-10,Global Rover Logistic Srl,"$2.162.400,00","$2.616.504,00"
A 0003-00027076,2025-09-10,2025-09-10,Global Rover Logistic Srl,"$1.621.800,00","$1.962.378,00"
A 0003-00027091,2025-09-11,2025-09-11,Global Rover Logistic Srl,"$540.600,00","$654.126,00"
A 0003-00027109,2025-09-12,2025-09-12,Global Rover Logistic Srl,"$1.081.200,00","$1.308.252,00"
A 0003-00027129,2025-09-15,2025-09-15,Global Rover Logistic Srl,"$1.081.200,00","$1.308.252,00"
A 0003-00027130,2025-09-15,2025-09-15,Global Rover Logistic Srl,"$1.621.800,00","$1.962.378,00"
A 0003-00027131,2025-09-15,2025-09-15,Global Rover Logistic Srl,"$540.600,00","$654.126,00"
A 0003-00027132,2025-09-15,2025-09-15,Global Rover Logistic Srl,"$540.600,00","$654.126,00"
A 0003-00027185,2025-09-18,2025-09-18,Global Rover Logistic Srl,"$2.162.400,00","$2.616.504,00"
A 0003-00027186,2025-09-18,2025-09-18,Global Rover Logistic Srl,"$288.600,00","$349.206,00"
A 0003-00027187,2025-09-18,2025-09-18,Global Rover Logistic Srl,"$1.081.200,00","$1.308.252,00"
A 0003-00027189,2025-09-18,2025-09-18,Global Rover Logistic Srl,"$540.600,00","$654.126,00"
A 0003-00027194,2025-09-19,2025-09-19,Global Rover Logistic Srl,"$1.089.200,00","$1.317.932,00"
A 0003-00027210,2025-09-22,2025-09-22,Global Rover Logistic Srl,"$540.600,00","$654.126,00"
A 0003-00027255,2025-09-24,2025-09-24,Global Rover Logistic Srl,"$1.081.200,00","$1.308.252,00"
A 0003-00027268,2025-09-25,2025-09-25,Global Rover Logistic Srl,"$540.600,00","$654.126,00"
A 0003-00027269,2025-09-25,2025-09-25,Global Rover Logistic Srl,"$540.600,00","$654.126,00"
A 0003-00027270,2025-09-25,2025-09-25,Global Rover Logistic Srl,"$540.600,00","$654.126,00"
A 0003-00027271,2025-09-25,2025-09-25,Global Rover Logistic Srl,"$1.081.200,00","$1.308.252,00"
A 0003-00027277,2025-09-25,2025-09-25,Termoplasticos Del Sur Sa,"$1.626.000,00","$1.967.460,00"
A 0003-00027301,2025-09-29,2025-09-29,Global Rover Logistic Srl,"$1.081.200,00","$1.308.252,00"
A 0003-00027302,2025-09-29,2025-09-29,Global Rover Logistic Srl,"$3.243.600,00","$3.924.756,00"
A 0003-00027303,2025-09-29,2025-09-29,Global Rover Logistic Srl,"$540.600,00","$654.126,00"
A 0003-00027304,2025-09-29,2025-09-29,Global Rover Logistic Srl,"$2.162.400,00","$2.616.504,00"
A 0003-00027305,2025-09-29,2025-09-29,Termoplasticos Del Sur Sa,"$813.000,00","$983.730,00"
A 0003-00027330,2025-10-01,2025-10-01,Global Rover Logistic Srl,"$1.621.800,00","$1.962.378,00"
A 0003-00027340,2025-10-01,2025-10-01,Global Rover Logistic Srl,"$1.081.200,00","$1.308.252,00"
A 0003-00027358,2025-10-02,2025-10-02,Global Rover Logistic Srl,"$540.600,00","$654.126,00"
A 0003-00027359,2025-10-02,2025-10-02,Global Rover Logistic Srl,"$1.081.200,00","$1.308.252,00"
A 0003-00027360,2025-10-02,2025-10-02,Global Rover Logistic Srl,"$1.621.800,00","$1.962.378,00"
A 0003-00027361,2025-10-02,2025-10-02,Global Rover Logistic Srl,"$1.081.200,00","$1.308.252,00"
A 0003-00027397,2025-10-06,2025-10-06,Global Rover Logistic Srl,"$1.081.200,00","$1.308.252,00"
A 0003-00027398,2025-10-06,2025-10-06,Global Rover Logistic Srl,"$1.621.800,00","$1.962.378,00"
A 0003-00027410,2025-10-07,2025-10-07,Global Rover Logistic Srl,"$1.081.200,00","$1.308.252,00"
A 0003-00027411,2025-10-07,2025-10-07,Global Rover Logistic Srl,"$540.600,00","$654.126,00"
A 0003-00027412,2025-10-07,2025-10-07,Global Rover Logistic Srl,"$288.600,00","$349.206,00"
A 0003-00027414,2025-10-07,2025-10-07,Global Rover Logistic Srl,"$1.081.200,00","$1.308.252,00"
A 0003-00027439,2025-10-08,2025-10-08,Global Rover Logistic Srl,"$288.600,00","$349.206,00"
A 0003-00027441,2025-10-08,2025-10-08,Global Rover Logistic Srl,"$1.621.800,00","$1.962.378,00"
A 0003-00027487,2025-10-13,2025-10-13,Global Rover Logistic Srl,"$1.081.200,00","$1.308.252,00"
A 0003-00027505,2025-10-14,2025-10-14,Global Rover Logistic Srl,"$865.800,00","$1.047.618,00"
A 0003-00027507,2025-10-14,2025-10-14,Global Rover Logistic Srl,"$288.600,00","$349.206,00"
A 0003-00027509,2025-10-14,2025-10-14,Global Rover Logistic Srl,"$540.600,00","$654.126,00"
A 0003-00027528,2025-10-16,2025-10-16,Global Rover Logistic Srl,"$540.600,00","$654.126,00"
A 0003-00027529,2025-10-16,2025-10-16,Global Rover Logistic Srl,"$540.600,00","$654.126,00"
A 0003-00027530,2025-10-16,2025-10-16,Global Rover Logistic Srl,"$540.600,00","$654.126,00"
