Factura,Emision,Vencimiento,Razon Social,Neto,Importe Total
A 0003-00026453,2025-07-21,2025-07-21,Lawter Argentina S.A.,"$2.990.656,00","$3.618.693,76"
A 0003-00026459,2025-07-22,2025-07-22,Lawter Argentina S.A.,"$2.242.992,00","$2.714.020,32"
A 0003-00026677,2025-08-07,2025-08-07,Lawter Argentina S.A.,"$641.269,00","$775.935,49"
A 0003-00026709,2025-08-08,2025-08-08,Lawter Argentina S.A.,"$641.269,00","$775.935,49"
A 0003-00026807,2025-08-15,2025-08-15,Lawter Argentina S.A.,"$1.282.538,00","$1.551.870,98"
A 0003-00026808,2025-08-15,2025-08-15,Lawter Argentina S.A.,"$747.664,00","$904.673,44"
A 0003-00026919,2025-08-28,2025-08-28,Lawter Argentina S.A.,"$2.990.656,00","$3.618.693,76"
A 0003-00027016,2025-09-04,2025-09-04,Lawter Argentina S.A.,"$641.269,00","$775.935,49"
A 0003-00027092,2025-09-11,2025-09-11,Lawter Argentina S.A.,"$3.082.440,00","$3.729.752,40"
A 0003-00027214,2025-09-22,2025-09-22,Lawter Argentina S.A.,"$961.903,50","$1.163.903,24"
A 0003-00027287,2025-09-26,2025-09-26,Lawter Argentina S.A.,"$1.495.328,00","$1.809.346,88"
A 0003-00027288,2025-09-26,2025-09-26,Lawter Argentina S.A.,"$1.495.928,00","$1.810.072,88"
NdC A 0003-00002064,2025-08-07,2025-08-07,Lawter Argentina S.A.,"($1.943.655,00)","($2.351.822,55)"
NdC A 0003-00002095,2025-09-29,2025-09-29,Lawter Argentina S.A.,"($600,00)","($726,00)"
