Factura,Emision,Vencimiento,Razon Social,Neto,Importe Total
A 0003-00025108,2025-04-01,2025-04-01,Edelweiss Spedition Srl,"$2.091.820,00","$2.531.102,20"
A 0003-00025109,2025-04-01,2025-04-16,Lift Van Int. Co S.A,"$3.368.880,90","$4.076.345,88"
A 0003-00025110,2025-04-01,2025-04-16,Lift Van Int. Co S.A,"$390.804,60","$472.873,57"
A 0003-00025111,2025-04-01,2025-04-16,Lift Van Int. Co S.A,"$2.638.865,25","$3.193.026,95"
A 0003-00025112,2025-04-01,2025-04-01,Edelweiss Spedition Srl,"$914.519,10","$1.106.568,11"
A 0003-00025113,2025-04-01,2025-04-01,Edelweiss Spedition Srl,"$1.005.788,16","$1.217.003,67"
A 0003-00025114,2025-04-01,2025-04-16,Lift Van Int. Co S.A,"$1.758.969,80","$2.128.353,46"
A 0003-00025161,2025-04-07,2025-04-22,Lift Van Int. Co S.A,"$1.842.702,00","$2.229.669,42"
A 0003-00025163,2025-04-07,2025-04-22,Lift Van Int. Co S.A,"$2.418.305,02","$2.926.149,07"
A 0003-00025165,2025-04-07,2025-04-07,Edelweiss Spedition Srl,"$1.893.142,14","$2.290.701,99"
A 0003-00025180,2025-04-08,2025-04-08,Edelweiss Spedition Srl,"$2.430.092,20","$2.940.411,56"
A 0003-00025181,2025-04-08,2025-04-23,Lift Van Int. Co S.A,"$4.667.601,70","$5.647.798,06"
A 0003-00025182,2025-04-08,2025-04-23,Lift Van Int. Co S.A,"$1.770.849,96","$2.142.728,45"
A 0003-00025206,2025-04-09,2025-04-24,Lift Van Int. Co S.A,"$623.145,60","$754.006,18"
A 0003-00025207,2025-04-09,2025-04-24,Lift Van Int. Co S.A,"$414.811,50","$501.921,92"
A 0003-00025208,2025-04-09,2025-04-24,Lift Van Int. Co S.A,"$1.267.160,49","$1.533.264,19"
A 0003-00025209,2025-04-09,2025-04-24,Lift Van Int. Co S.A,"$629.500,25","$761.695,30"
A 0003-00025212,2025-04-10,2025-04-25,Lift Van Int. Co S.A,"$711.471,08","$860.880,01"
A 0003-00025220,2025-04-11,2025-04-11,Edelweiss Spedition Srl,"$1.820.547,64","$2.202.862,64"
A 0003-00025251,2025-04-14,2025-04-14,Edelweiss Spedition Srl,"$2.498.575,34","$3.023.276,16"
A 0003-00025252,2025-04-14,2025-04-29,Lift Van Int. Co S.A,"$2.244.285,75","$2.715.585,76"
A 0003-00025253,2025-04-14,2025-04-29,Lift Van Int. Co S.A,"$1.725.979,53","$2.088.435,23"
A 0003-00025254,2025-04-14,2025-04-29,Lift Van Int. Co S.A,"$1.760.708,45","$2.130.457,22"
A 0003-00025273,2025-04-15,2025-04-15,Edelweiss Spedition Srl,"$2.586.635,74","$3.129.829,24"
A 0003-00025293,2025-04-17,2025-04-17,Edelweiss Spedition Srl,"$2.674.039,14","$3.235.587,36"
A 0003-00025294,2025-04-17,2025-05-02,Lift Van Int. Co S.A,"$3.583.270,50","$4.335.757,30"
A 0003-00025307,2025-04-21,2025-05-06,Lift Van Int. Co S.A,"$3.948.392,34","$4.777.554,74"
A 0003-00025319,2025-04-22,2025-05-07,Lift Van Int. Co S.A,"$1.857.024,79","$2.247.000,00"
A 0003-00025320,2025-04-22,2025-05-07,Lift Van Int. Co S.A,"$742.690,91","$898.656,00"
A 0003-00025321,2025-04-22,2025-05-07,Lift Van Int. Co S.A,"$1.395.000,00","$1.687.950,00"
A 0003-00025324,2025-04-22,2025-04-22,Edelweiss Spedition Srl,"$1.275.568,00","$1.543.437,28"
A 0003-00025326,2025-04-22,2025-04-22,Edelweiss Spedition Srl,"$657.953,72","$796.124,00"
A 0003-00025338,2025-04-23,2025-05-08,Lift Van Int. Co S.A,"$3.432.093,66","$4.152.833,33"
A 0003-00025341,2025-04-23,2025-05-08,Lift Van Int. Co S.A,"$2.796.238,00","$3.383.447,98"
A 0003-00025368,2025-04-25,2025-05-10,Lift Van Int. Co S.A,"$2.722.855,14","$3.294.654,72"
A 0003-00025369,2025-04-25,2025-05-10,Lift Van Int. Co S.A,"$1.300.872,00","$1.574.055,12"
A 0003-00025386,2025-04-25,2025-05-10,Lift Van Int. Co S.A,"$1.845.568,00","$2.233.137,28"
A 0003-00025418,2025-04-28,2025-04-28,Edelweiss Spedition Srl,"$2.082.284,24","$2.519.563,93"
A 0003-00025419,2025-04-28,2025-05-13,Lift Van Int. Co S.A,"$1.762.396,60","$2.132.499,89"
A 0003-00025426,2025-04-28,2025-05-13,Lift Van Int. Co S.A,"$1.933.884,30","$2.340.000,00"
A 0003-00025427,2025-04-28,2025-05-13,Lift Van Int. Co S.A,"$773.553,72","$936.000,00"
A 0003-00025428,2025-04-28,2025-05-13,Lift Van Int. Co S.A,"$773.553,72","$936.000,00"
A 0003-00025439,2025-04-30,2025-05-15,Lift Van Int. Co S.A,"$775.933,89","$938.880,01"
A 0003-00025440,2025-04-30,2025-05-15,Lift Van Int. Co S.A,"$1.163.900,83","$1.408.320,00"
A 0003-00025441,2025-04-30,2025-05-15,Lift Van Int. Co S.A,"$1.939.834,71","$2.347.200,00"
A 0003-00025492,2025-05-06,2025-05-21,Lift Van Int. Co S.A,"$1.275.568,00","$1.543.437,28"
A 0003-00025504,2025-05-07,2025-05-22,Lift Van Int. Co S.A,"$1.806.199,00","$2.185.500,79"
A 0003-00025522,2025-05-08,2025-05-08,Edelweiss Spedition Srl,"$2.915.706,05","$3.528.004,32"
A 0003-00025524,2025-05-08,2025-05-23,Lift Van Int. Co S.A,"$2.519.608,75","$3.048.726,58"
A 0003-00025541,2025-05-09,2025-05-09,Edelweiss Spedition Srl,"$2.347.972,45","$2.841.046,66"
A 0003-00025543,2025-05-12,2025-05-27,Lift Van Int. Co S.A,"$2.330.578,51","$2.820.000,00"
A 0003-00025567,2025-05-12,2025-05-27,Lift Van Int. Co S.A,"$1.794.082,55","$2.170.839,89"
A 0003-00025575,2025-05-13,2025-05-28,Lift Van Int. Co S.A,"$1.118.955,37","$1.353.936,00"
A 0003-00025576,2025-05-13,2025-05-28,Lift Van Int. Co S.A,"$1.864.925,62","$2.256.560,00"
A 0003-00025577,2025-05-13,2025-05-28,Lift Van Int. Co S.A,"$1.425.619,84","$1.725.000,01"
A 0003-00025589,2025-05-13,2025-05-28,Lift Van Int. Co S.A,"$1.825.568,00","$2.208.937,28"
A 0003-00025601,2025-05-14,2025-05-14,Edelweiss Spedition Srl,"$2.658.381,52","$3.216.641,64"
A 0003-00025630,2025-05-15,2025-05-30,Lift Van Int. Co S.A,"$2.330.578,51","$2.820.000,00"
A 0003-00025631,2025-05-15,2025-05-30,Lift Van Int. Co S.A,"$932.231,40","$1.127.999,99"
A 0003-00025632,2025-05-15,2025-05-30,Lift Van Int. Co S.A,"$745.785,12","$902.400,00"
A 0003-00025634,2025-05-15,2025-05-30,Lift Van Int. Co S.A,"$5.168.150,33","$6.253.461,90"
A 0003-00025640,2025-05-16,2025-05-31,Lift Van Int. Co S.A,"$1.543.314,16","$1.867.410,13"
A 0003-00025705,2025-05-21,2025-05-21,Edelweiss Spedition Srl,"$1.900.085,20","$2.299.103,09"
A 0003-00025736,2025-05-23,2025-05-23,Edelweiss Spedition Srl,"$199.412,00","$241.288,52"
A 0003-00025737,2025-05-23,2025-05-23,Edelweiss Spedition Srl,"$1.899.264,09","$2.298.109,55"
A 0003-00025758,2025-05-26,2025-05-26,Edelweiss Spedition Srl,"$1.775.832,16","$2.148.756,91"
A 0003-00025764,2025-05-26,2025-06-10,Lift Van Int. Co S.A,"$935.644,63","$1.132.130,00"
A 0003-00025779,2025-05-27,2025-06-11,Lift Van Int. Co S.A,"$2.326.509,68","$2.815.076,71"
A 0003-00025791,2025-05-28,2025-06-12,Lift Van Int. Co S.A,"$1.944.908,04","$2.353.338,73"
A 0003-00025804,2025-05-29,2025-06-13,Lift Van Int. Co S.A,"$253.527,90","$306.768,76"
A 0003-00025805,2025-05-29,2025-06-13,Lift Van Int. Co S.A,"$1.564.560,11","$1.893.117,73"
A 0003-00025839,2025-06-02,2025-06-17,Lift Van Int. Co S.A,"$2.440.087,36","$2.952.505,71"
A 0003-00025840,2025-06-02,2025-06-17,Lift Van Int. Co S.A,"$2.455.103,31","$2.970.675,01"
A 0003-00025841,2025-06-02,2025-06-17,Lift Van Int. Co S.A,"$758.485,95","$917.768,00"
A 0003-00025854,2025-06-03,2025-06-18,Lift Van Int. Co S.A,"$2.080.922,37","$2.517.916,07"
A 0003-00025855,2025-06-03,2025-06-18,Lift Van Int. Co S.A,"$2.591.408,25","$3.135.603,98"
A 0003-00025880,2025-06-04,2025-06-19,Lift Van Int. Co S.A,"$1.395.130,26","$1.688.107,61"
A 0003-00025894,2025-06-05,2025-06-20,Lift Van Int. Co S.A,"$1.950.676,81","$2.360.318,94"
A 0003-00025913,2025-06-06,2025-06-21,Lift Van Int. Co S.A,"$1.995.408,00","$2.414.443,68"
A 0003-00025940,2025-06-09,2025-06-24,Lift Van Int. Co S.A,"$2.987.617,28","$3.615.016,91"
A 0003-00025941,2025-06-09,2025-06-24,Lift Van Int. Co S.A,"$783.867,77","$948.480,00"
A 0003-00025944,2025-06-09,2025-06-24,Lift Van Int. Co S.A,"$783.867,77","$948.480,00"
A 0003-00025970,2025-06-11,2025-06-26,Lift Van Int. Co S.A,"$1.960.743,80","$2.372.500,00"
A 0003-00026020,2025-06-13,2025-06-28,Lift Van Int. Co S.A,"$1.173.609,92","$1.420.068,00"
A 0003-00026021,2025-06-13,2025-06-28,Lift Van Int. Co S.A,"$1.173.609,92","$1.420.068,00"
A 0003-00026065,2025-06-19,2025-07-04,Lift Van Int. Co S.A,"$2.092.901,60","$2.532.410,94"
NdC A 0003-00001991,2025-04-14,2025-04-14,Lift Van Int. Co S.A,"($1.725.979,53)","($2.088.435,23)"
NdC A 0003-00001995,2025-04-17,2025-04-17,Lift Van Int. Co S.A,"($3.583.270,81)","($4.335.757,68)"
NdC A 0003-00001996,2025-04-24,2025-04-24,Lift Van Int. Co S.A,"($330.060,41)","($399.373,10)"
NdC A 0003-00002009,2025-05-13,2025-05-13,Lift Van Int. Co S.A,"($1.275.568,00)","($1.543.437,28)"
