Factura,Emision,Vencimiento,Razon Social,Neto,Importe Total
A 0003-00028480,2025-12-23,2026-01-22,Grupo Simpa Sa,"$1.094.269,00","$1.324.065,49"
A 0003-00028481,2025-12-23,2026-01-22,Grupo Simpa Sa,"$1.216.721,00","$1.472.232,41"
A 0003-00028482,2025-12-23,2026-01-22,Grupo Simpa Sa,"$1.063.656,00","$1.287.023,76"
A 0003-00028483,2025-12-23,2026-01-22,Grupo Simpa Sa,"$1.094.269,00","$1.324.065,49"
A 0003-00028508,2025-12-26,2026-01-25,Grupo Simpa Sa,"$1.186.108,00","$1.435.190,68"
A 0003-00028509,2025-12-26,2026-01-25,Grupo Simpa Sa,"$3.050.822,00","$3.691.494,62"
A 0003-00028589,2026-01-02,2026-02-01,Grupo Simpa Sa,"$2.233.150,00","$2.702.111,50"
A 0003-00028590,2026-01-02,2026-02-01,Grupo Simpa Sa,"$1.432.992,00","$1.733.920,32"
A 0003-00028618,2026-01-05,2026-02-04,Grupo Simpa Sa,"$1.463.605,00","$1.770.962,05"
A 0003-00028773,2026-01-19,2026-02-18,Grupo Simpa Sa,"$1.092.784,00","$1.322.268,64"
A 0004-00000196,2026-01-19,2026-02-18,Grupo Simpa Sa,"$3.278.352,00","$3.966.805,92"
A 0004-00000197,2026-02-20,2026-03-22,Grupo Simpa Sa,"$25.815.270,00","$31.236.476,70"
A 0004-00000198,2026-03-20,2026-04-19,Grupo Simpa Sa,"$48.263.950,00","$58.399.379,50"
